Config,G1_masked,G1_recon,Delta_G1,G2_masked,G2_recon,Delta_G2,G3_masked,G3_recon,Delta_G3,KL_masked,KL_recon,Delta_KL,MI_masked,MI_recon,Delta_MI,Chi2_masked,Chi2_recon,Delta_Chi2,TVD_masked,TVD_recon,Delta_TVD,Original_Accuracy,Masked_Accuracy,Accuracy_Difference,Time_Mask,Time_Construct,Time_Model
config01,0.2491146755555555,0.017475040706917674,0.23270942648982562,0.9993333333333333,0.5555555555555554,0.445111111111111,0.5265333333333333,0.2606122719734658,0.2674122719734663,0.0,12.930699274490841,12.930699274693954,0.19807212391276466,0.19723881125451337,0.0008333126633807913,0.25880796848152426,0.2560327312055406,0.0027752372759836715,0.0,0.4234123991120261,0.4234123991120261,0.732,0.7593,2.7333,0.6000158786773682,1.0922152996063232,1.3480985164642334
config02,0.2127090133333333,0.007819935227129078,0.20494461172806042,0.9998666666666666,0.44444444444444453,0.555688888888889,0.5092,0.20562942316690036,0.3036738676113453,0.0,15.545374584053231,15.545374584227233,0.2658508646503127,0.18003146648789092,0.08581939816755127,0.3346441240287311,0.2408215552223448,0.0938225688063867,0.0,0.4429573215790121,0.4429573215790121,0.732,0.782,5.0,0.5955045223236084,2.0386486053466797,1.345055341720581
config03,0.28972695111111113,0.06206435317414668,0.2750105268258533,0.9993555555555554,0.5555555555555554,0.44508888888888876,0.5575777777777778,0.3085333333333333,0.28428888888888904,0.0,12.588700630168708,12.58870063022093,0.12664267945261576,0.07592158393721374,0.05072109552053151,0.1824286267415846,0.12519304988370758,0.057235576857877106,0.0,0.4634747036919113,0.4634747036919113,0.732,0.6573,7.4667,0.579963207244873,0.8904144763946533,1.2836883068084717
config04,0.2558774,0.05354410947579824,0.2035123113375722,0.9997111111111112,0.5555555555555556,0.44473333333333337,0.5445333333333333,0.2530366824816187,0.2932264260713623,0.0,19.92019087295909,19.920190872993093,0.1719336440847444,0.1603243281735733,0.011609315916300555,0.24041438300412235,0.21712312248678564,0.02329126051733671,0.0,0.6512181196790253,0.6512181196790253,0.732,0.7213,1.0667,0.6004271507263184,2.5050454139709473,1.383293628692627
config05,0.23461512444444443,0.011505602876339133,0.22320399851168643,0.9997333333333334,0.4444444444444444,0.5558222222222223,0.5299111111111111,0.22635188824276456,0.3036852215760979,0.0,15.41169627311831,15.411696273188754,0.206441613700869,0.12051811324549365,0.08592350046050487,0.25944025885462385,0.16543667557528263,0.09400358327934125,0.0,0.438741932549582,0.438741932549582,0.732,0.7793,4.7333,0.5834622383117676,1.6861639022827148,1.3652236461639404
config06,0.2623584577777778,0.014225329729983733,0.2481868235981204,0.9993111111111111,0.5555555555555552,0.445133333333333,0.5349777777777778,0.27142319246945745,0.2636898591361241,0.0,12.74990951805233,12.749909518146106,0.18551262965715737,0.17520829304150912,0.010304336619495402,0.26181082410261497,0.24242326732560565,0.019387556777009454,0.0,0.410983867758129,0.410983867758129,0.732,0.7453,1.3333,0.6131792068481445,1.0838711261749268,1.2977302074432373
config07,0.21904466666666667,0.05375445637630739,0.2137630224899393,0.9934222222222222,0.5555555555555558,0.45102222222222227,0.5075777777777778,0.2896621808987847,0.255995514232118,0.0,17.73149752574022,17.731497525794,0.2723462508853678,0.13145647769120852,0.1408897731980064,0.3327595730727675,0.17133900903469282,0.16142056403807467,0.0,0.5728807769550617,0.5728807769550617,0.732,0.78,4.8,0.6061153411865234,4.881181001663208,1.3645439147949219
config08,0.2690835066666667,0.015981512869592866,0.2541717854382615,0.9992222222222222,0.5555555555555555,0.4452222222222222,0.5441111111111111,0.278190049751244,0.26741227197346623,0.0,12.880708333183309,12.880708333287755,0.1485811174962509,0.14774780509444202,0.0008333124069383238,0.20824217494198274,0.2054669376659994,0.0027752372759833293,0.0,0.4106344595164938,0.4106344595164938,0.732,0.67,6.2,0.5889902114868164,1.069990873336792,1.2775425910949707
config09,0.2629468,0.06771002591972511,0.23526153643822634,0.9988888888888889,0.6666666666666665,0.3342222222222222,0.5601777777777778,0.36446933080846844,0.2042915530306906,0.0,12.484941693070873,12.484941693125982,0.12857774154301607,0.10473815102467582,0.023839590520904983,0.19741787054761417,0.15914587591638563,0.03827199463122862,0.0,0.5250791599167672,0.5250791599167672,0.732,0.6487,8.3333,0.6107478141784668,1.3358345031738281,1.3146238327026367
config10,0.27682264,0.06784242476392091,0.2563281441249679,0.9998666666666666,0.5555555555555555,0.4445777777777777,0.5469333333333333,0.27219401709401714,0.30998376068376093,0.0,15.776729000526716,15.776729000717824,0.14192717318620893,0.08110194876359364,0.06082522442774475,0.1800486077814504,0.10390342106811588,0.07614518671333453,0.0,0.5226182872522573,0.5226182872522573,0.732,0.6433,8.8667,0.6123764514923096,1.0150363445281982,1.2854080200195312
